time,position 0,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8,position 9
11963.0,"(252.4468459282103, 471.5134487313018)","(337.5970702213078, 255.91030925488548)","(1136.4786205952817, 310.7528366830969)","(1078.4351267333093, 269.42134247908496)","(576.3085898452215, 331.52495156566835)","(1348.3021159295256, 807.6319541555553)","(465.7431558367922, 503.03791041723935)","(831.4261511836348, 592.3576665781881)","(889.3325241112826, 396.67199677376703)","(1089.0227700126143, 933.5911134478332)"
11964.0,"(252.30461169856926, 471.6208814876453)","(337.4430740238451, 255.71336974344342)","(1136.2771904739802, 310.90091067214445)","(1078.2432411094358, 269.5815919949989)","(576.3831104473779, 331.7635866005108)","(1348.4465776097495, 807.8359904830728)","(465.98603095388575, 502.9786510087306)","(831.4996423712673, 592.1187125128525)","(889.5825004095926, 396.6754391978011)","(1088.9526561625512, 933.6781578805941)"
11965.0,"(252.1630886400764, 471.7277770802071)","(337.2890778263824, 255.51643023200137)","(1136.0757603526786, 311.048984661192)","(1078.0513554855622, 269.7418415109129)","(576.4576310495344, 332.00222163535324)","(1348.5910392899737, 808.0400268105903)","(466.2289060709793, 502.91939160022184)","(831.5731335588998, 591.879758447517)","(889.8324767079026, 396.6788816218352)","(1088.8828928817384, 933.7647670911911)"
11966.0,"(252.02227319687603, 471.83413819480603)","(337.13508162891975, 255.31949072055932)","(1135.8743302313771, 311.1970586502395)","(1077.8594698616887, 269.90209102682684)","(576.5321516516908, 332.2408566701957)","(1348.7355009701976, 808.2440631381079)","(466.47178118807284, 502.8601321917131)","(831.6466247465323, 591.6408043821815)","(890.0824530062126, 396.6823240458693)","(1088.8134784173296, 933.8509432557352)"
11967.0,"(251.88216183089165, 471.939967503832)","(336.9810854314571, 255.12255120911726)","(1135.6729001100755, 311.34513263928704)","(1077.6675842378152, 270.0623405427408)","(576.6066722538473, 332.47949170503813)","(1348.8799626504217, 808.4480994656254)","(466.7146563051664, 502.80087278320434)","(831.7201159341648, 591.401850316846)","(890.3324293045226, 396.6857664699034)","(1088.744411025243, 933.9366885394564)"
11968.0,"(251.74275102173718, 472.04526766631284)","(336.8270892339944, 254.9256116976752)","(1135.471469988774, 311.4932066283346)","(1077.4756986139416, 270.22259005865476)","(576.6811928560037, 332.7181267398806)","(1349.0244243306456, 808.652135793143)","(466.95753142225993, 502.7416133746956)","(831.7936071217973, 591.1628962515105)","(890.5824056028326, 396.68920889393746)","(1088.6756889701167, 934.0220050967591)"
11969.0,"(251.6040372666285, 472.1500413279813)","(336.6730930365317, 254.72867218623315)","(1135.2700398674724, 311.6412806173821)","(1077.283812990068, 270.3828395745687)","(576.7557134581601, 332.956761774723)","(1349.1688860108698, 808.8561721206605)","(467.2004065393535, 502.68235396618684)","(831.8670983094298, 590.9239421861749)","(890.8323819011426, 396.6926513179716)","(1088.607310525266, 934.1068950712753)"
11970.0,"(251.46601708029536, 472.2542911213414)","(336.51909683906905, 254.5317326747911)","(1135.0686097461708, 311.78935460642964)","(1077.0919273661946, 270.5430890904827)","(576.8302340603166, 333.19539680956547)","(1349.3133476910937, 809.0602084481781)","(467.443281656447, 502.6230945576781)","(831.9405894970623, 590.6849881208394)","(891.0823581994526, 396.69609374200564)","(1088.5392739726396, 934.1913605959189)"
11971.0,"(251.32868699489387, 472.3580196657347)","(336.3651006416064, 254.33479316334905)","(1134.8671796248693, 311.9374285954772)","(1076.900041742321, 270.70333860639664)","(576.904754662473, 333.4340318444079)","(1349.4578093713178, 809.2642447756956)","(467.6861567735406, 502.56383514916934)","(832.0140806846948, 590.4460340555039)","(891.3323344977626, 396.69953616603976)","(1088.4715776027765, 934.2754037929393)"
11972.0,"(251.1920435599194, 472.461229567406)","(336.2111044441437, 254.137853651907)","(1134.665749503568, 312.0855025845247)","(1076.7081561184475, 270.8635881223106)","(576.9792752646295, 333.67266687925036)","(1349.6022710515417, 809.4682811032131)","(467.9290318906341, 502.5045757406606)","(832.0875718723273, 590.2070799901684)","(891.5823107960726, 396.7029785900738)","(1088.4042197147626, 934.3590267739746)"
11973.0,"(251.0560833421198, 472.563923419569)","(336.057108246681, 253.94091414046494)","(1134.4643193822662, 312.23357657357224)","(1076.516270494574, 271.02383763822456)","(577.0537958667859, 333.9113019140928)","(1349.7467327317659, 809.6723174307307)","(468.17190700772767, 502.44531633215183)","(832.1610630599598, 589.9681259248329)","(891.8322870943827, 396.70642101410795)","(1088.3371986161887, 934.4422316401048)"
11974.0,"(250.9208029254092, 472.6661038024711)","(335.90311204921835, 253.7439746290229)","(1134.2628892609646, 312.38165056261977)","(1076.3243848707004, 271.1840871541385)","(577.1283164689423, 334.14993694893525)","(1349.8911944119898, 809.8763537582482)","(468.4147821248212, 502.3860569236431)","(832.2345542475923, 589.7291718594973)","(892.0822633926927, 396.709863438142)","(1088.2705126231078, 934.5250204819042)"
11975.0,"(250.78619891078213, 472.7677732834588)","(335.7491158517557, 253.54703511758083)","(1134.0614591396632, 312.5297245516673)","(1076.132499246827, 271.3443366700525)","(577.2028370710988, 334.3885719837777)","(1350.035656092214, 810.0803900857658)","(468.65765724191476, 502.32679751513433)","(832.3080454352248, 589.4902177941618)","(892.3322396910027, 396.7133058621761)","(1088.2041600599923, 934.6073953794947)"
11976.0,"(250.65226791622823, 472.8689344170415)","(335.595119654293, 253.35009560613878)","(1133.8600290183615, 312.67779854071483)","(1075.9406136229534, 271.50458618596645)","(577.2773576732552, 334.62720701862014)","(1350.1801177724378, 810.2844264132833)","(468.9005323590083, 502.2675381066256)","(832.3815366228573, 589.2512637288263)","(892.5822159893127, 396.7167482862102)","(1088.1381392596923, 934.6893584025972)"
11977.0,"(250.5190065766471, 472.9695897449563)","(335.4411234568303, 253.15315609469673)","(1133.65859889706, 312.82587252976236)","(1075.7487279990798, 271.6648357018804)","(577.3518782754117, 334.8658420534626)","(1350.324579452662, 810.4884627408009)","(469.14340747610186, 502.2082786981168)","(832.4550278104898, 589.0123096634908)","(892.8321922876227, 396.7201907102443)","(1088.072448563394, 934.7709116105842)"
11978.0,"(250.38641154376384, 473.06974179623154)","(335.28712725936765, 252.95621658325467)","(1133.4571687757584, 312.9739465188099)","(1075.5568423752063, 271.82508521779437)","(577.4263988775681, 335.10447708830503)","(1350.4690411328859, 810.6924990683184)","(469.3862825931954, 502.1490192896081)","(832.5285189981223, 588.7733555981553)","(893.0821685859327, 396.7236331342784)","(1088.007086320577, 934.8520570525313)"
11979.0,"(250.25447948604503, 473.1693930872504)","(335.133131061905, 252.75927707181262)","(1133.255738654457, 313.1220205078574)","(1075.3649567513328, 271.9853347337083)","(577.5009194797245, 335.3431121231475)","(1350.6135028131098, 810.8965353958359)","(469.62915771028895, 502.0897598810993)","(832.6020101857548, 588.5344015328197)","(893.3321448842427, 396.7270755583125)","(1087.942050888974, 934.9327967672687)"
11980.0,"(250.1232070886148, 473.26854612181415)","(334.9791348644423, 252.56233756037057)","(1133.0543085331553, 313.27009449690496)","(1075.1730711274593, 272.1455842496223)","(577.575440081881, 335.5817471579899)","(1350.757964493334, 811.1005717233535)","(469.8720328273825, 502.0305004725906)","(832.6755013733873, 588.2954474674842)","(893.5821211825527, 396.73051798234656)","(1087.8773406345292, 935.0131327834323)"
