time,position 0,position 1,position 2
185.0,"(684.2930419088127, 765.4378210444575)","(281.33998315896554, 749.7216293489888)","(362.4942218732274, 229.73448654381855)"
186.0,"(684.5430377513915, 765.436379277024)","(281.5284544945475, 749.8858808502422)","(362.6459139902256, 229.53576688791958)"
187.0,"(684.7930335939702, 765.4349375095906)","(281.7169258301294, 750.0501323514956)","(362.7976061072238, 229.3370472320206)"
188.0,"(685.043029436549, 765.4334957421571)","(281.90539716571135, 750.2143838527489)","(362.94929822422205, 229.13832757612167)"
189.0,"(685.2930252791277, 765.4320539747237)","(282.0938685012933, 750.3786353540023)","(363.10099034122027, 228.93960792022273)"
190.0,"(685.5430211217065, 765.4306122072902)","(282.2823398368752, 750.5428868552557)","(363.2526824582185, 228.74088826432376)"
191.0,"(685.7930169642852, 765.4291704398568)","(282.47081117245716, 750.7071383565091)","(363.4043745752167, 228.5421686084248)"
192.0,"(686.043012806864, 765.4277286724233)","(282.6592825080391, 750.8713898577624)","(363.5560666922149, 228.34344895252585)"
193.0,"(686.2930086494428, 765.4262869049899)","(282.84775384362104, 751.0356413590158)","(363.70775880921315, 228.1447292966269)"
194.0,"(686.5430044920215, 765.4248451375564)","(283.036225179203, 751.1998928602692)","(363.85945092621137, 227.94600964072794)"
195.0,"(686.7930003346003, 765.423403370123)","(283.2246965147849, 751.3641443615226)","(364.0111430432096, 227.74728998482897)"
196.0,"(687.042996177179, 765.4219616026895)","(283.41316785036685, 751.5283958627759)","(364.1628351602078, 227.54857032893003)"
197.0,"(687.2929920197578, 765.4205198352561)","(283.6016391859488, 751.6926473640293)","(364.314527277206, 227.34985067303109)"
198.0,"(687.5429878623365, 765.4190780678226)","(283.7901105215307, 751.8568988652827)","(364.46621939420424, 227.15113101713212)"
199.0,"(687.7929837049153, 765.4176363003892)","(283.97858185711266, 752.0211503665361)","(364.61791151120246, 226.95241136123315)"
200.0,"(688.042979547494, 765.4161945329557)","(284.1670531926946, 752.1854018677894)","(364.7696036282007, 226.7536917053342)"
201.0,"(688.2929753900728, 765.4147527655223)","(284.35552452827653, 752.3496533690428)","(364.9212957451989, 226.55497204943526)"
202.0,"(688.5429712326516, 765.4133109980888)","(284.54399586385847, 752.5139048702962)","(365.0729878621971, 226.3562523935363)"
203.0,"(688.7929670752303, 765.4118692306554)","(284.7324671994404, 752.6781563715496)","(365.22467997919534, 226.15753273763733)"
204.0,"(689.0429629178091, 765.4104274632219)","(284.92093853502234, 752.8424078728029)","(365.37637209619356, 225.95881308173836)"
205.0,"(689.2929587603878, 765.4089856957885)","(285.1094098706043, 753.0066593740563)","(365.5280642131918, 225.7600934258394)"
206.0,"(689.5429546029666, 765.407543928355)","(285.2978812061862, 753.1709108753097)","(365.67975633019, 225.56137376994042)"
207.0,"(689.7929504455453, 765.4061021609216)","(285.48635254176816, 753.3351623765631)","(365.8314484471882, 225.36265411404145)"
208.0,"(690.0429462881241, 765.4046603934881)","(285.6748238773501, 753.4994138778164)","(365.98314056418644, 225.16393445814248)"
209.0,"(690.2929421307028, 765.4032186260547)","(285.86329521293203, 753.6636653790698)","(366.13483268118466, 224.96521480224354)"
210.0,"(690.5429379732816, 765.4017768586212)","(286.05176654851397, 753.8279168803232)","(366.2865247981829, 224.7664951463446)"
211.0,"(690.7929338158604, 765.4003350911878)","(286.2402378840959, 753.9921683815766)","(366.4382169151811, 224.56777549044563)"
212.0,"(691.0429296584391, 765.3988933237544)","(286.42870921967784, 754.1564198828299)","(366.5899090321793, 224.36905583454666)"
213.0,"(691.2929255010179, 765.3974515563209)","(286.6171805552598, 754.3206713840833)","(366.74160114917754, 224.17033617864772)"
214.0,"(691.5429213435966, 765.3960097888875)","(286.8056518908417, 754.4849228853367)","(366.89329326617576, 223.97161652274877)"
215.0,"(691.7929171861754, 765.394568021454)","(286.99412322642365, 754.6491743865901)","(367.044985383174, 223.7728968668498)"
216.0,"(692.0429130287541, 765.3931262540206)","(287.1825945620056, 754.8134258878434)","(367.1966775001722, 223.57417721095084)"
217.0,"(692.2929088713329, 765.3916844865871)","(287.3710658975875, 754.9776773890968)","(367.3483696171704, 223.3754575550519)"
218.0,"(692.5429047139116, 765.3902427191537)","(287.55953723316946, 755.1419288903502)","(367.50006173416864, 223.17673789915295)"
219.0,"(692.7929005564904, 765.3888009517202)","(287.7480085687514, 755.3061803916036)","(367.65175385116686, 222.97801824325398)"
220.0,"(693.0428963990691, 765.3873591842868)","(287.93647990433334, 755.4704318928569)","(367.8034459681651, 222.77929858735502)"
221.0,"(693.2928922416479, 765.3859174168533)","(288.1249512399153, 755.6346833941103)","(367.9551380851633, 222.58057893145607)"
222.0,"(693.5428880842267, 765.3844756494199)","(288.3134225754972, 755.7989348953637)","(368.1068302021615, 222.38185927555713)"
