time,position 0,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8,position 9
1069.0,"(240.20939018806436, 215.2723799063645)","(1211.7342345120092, 356.6305741471471)","(1120.967610715786, 468.8611034251605)","(1111.921216359186, 114.45961280701292)","(232.56817619489834, 758.1162866981879)","(989.9907964650433, 896.4081596235491)","(272.7686773983751, 279.34732977136355)","(775.2854908350693, 341.143328635822)","(46.95000852627052, 189.660921646737)","(1253.4493681009087, 431.16949566551745)"
1070.0,"(240.43019514900092, 215.38961970006017)","(1211.516241313721, 356.7529627311737)","(1120.7287711011472, 468.93496571918985)","(1111.7559676671922, 114.27201517964443)","(232.62533531392384, 758.0907052646969)","(990.0863886563236, 896.4045298539388)","(273.00800999677347, 279.4195786976108)","(775.1574602462597, 341.358056762366)","(47.04447925973034, 189.89238499268959)","(1253.5987153608698, 431.3699835602695)"
1071.0,"(240.65100010993748, 215.50685949375583)","(1211.2982481154327, 356.87535131520025)","(1120.4899314865086, 469.0088280132192)","(1111.5907189751983, 114.08441755227594)","(232.68220863735422, 758.0652517383734)","(990.2263171617203, 896.4240148253085)","(273.24734259517186, 279.491827623858)","(775.0294296574501, 341.57278488891)","(47.13894999319015, 190.12384833864218)","(1253.748062620831, 431.5704714550215)"
1072.0,"(240.87180507087405, 215.6240992874515)","(1211.0802549171444, 356.9977398992268)","(1120.25109187187, 469.0826903072486)","(1111.4254702832043, 113.89681992490745)","(232.73879759416744, 758.0399254796815)","(990.410575230515, 896.4666274815806)","(273.48667519357025, 279.56407655010526)","(774.9013990686406, 341.787513015454)","(47.23342072664997, 190.35531168459477)","(1253.897409880792, 431.77095934977353)"
1073.0,"(241.0926100318106, 215.74133908114715)","(1210.8622617188562, 357.1201284832534)","(1120.0122522572312, 469.15655260127795)","(1111.2602215912102, 113.70922229753896)","(232.7951036061966, 758.0147258522832)","(990.6391560949048, 896.5323807901908)","(273.72600779196864, 279.63632547635245)","(774.773368479831, 342.002241141998)","(47.32789146010978, 190.58677503054736)","(1254.0467571407532, 431.97144724452556)"
1074.0,"(241.31341499274717, 215.8585788748428)","(1210.644268520568, 357.24251706727995)","(1119.7734126425926, 469.2304148953073)","(1111.0949728992164, 113.52162467017047)","(232.8511280881656, 757.9896522230217)","(990.8787165488355, 896.6038705720657)","(273.96534039036703, 279.7085744025997)","(774.6453378910214, 342.216969268542)","(47.4223621935696, 190.81823837649995)","(1254.1961044007144, 432.1719351392776)"
1075.0,"(241.53421995368373, 215.97581866853847)","(1210.4262753222797, 357.3649056513065)","(1119.534573027954, 469.3042771893367)","(1110.9297242072225, 113.33402704280198)","(232.9068724477248, 757.9647039619066)","(991.1182770027663, 896.6753603539406)","(274.2046729887654, 279.78082332884696)","(774.5173073022119, 342.431697395086)","(47.51683292702941, 191.04970172245254)","(1254.3454516606755, 432.3724230340296)"
1076.0,"(241.7550249146203, 216.09305846223413)","(1210.2082821239915, 357.4872942353331)","(1119.2957334133152, 469.37813948336606)","(1110.7644755152285, 113.14642941543349)","(232.96233808548618, 757.9398804420971)","(991.357837456697, 896.7468501358155)","(274.4440055871638, 279.85307225509416)","(774.3892767134023, 342.64642552163)","(47.61130366048923, 191.28116506840513)","(1254.4947989206366, 432.57291092878165)"
1077.0,"(241.97582987555685, 216.21029825592979)","(1209.9902889257032, 357.60968281935965)","(1119.0568937986766, 469.4520017773954)","(1110.5992268232346, 112.958831788065)","(233.01752639505875, 757.9151810398866)","(991.5973979106277, 896.8183399176904)","(274.6833381855622, 279.92532118134136)","(774.2612461245927, 342.861153648174)","(47.70577439394904, 191.51262841435772)","(1254.6441461805978, 432.7733988235337)"
1078.0,"(242.19663483649342, 216.32753804962545)","(1209.772295727415, 357.7320714033862)","(1118.818054184038, 469.5258640714248)","(1110.4339781312406, 112.77123416069651)","(233.07243876308345, 757.8906051346872)","(991.8369583645584, 896.8898296995653)","(274.9226707839606, 279.9975701075886)","(774.1332155357832, 343.075881774718)","(47.80024512740886, 191.7440917603103)","(1254.793493440559, 432.9738867182857)"
1079.0,"(242.41743979742998, 216.4447778433211)","(1209.5543025291267, 357.8544599874128)","(1118.5792145693993, 469.59972636545416)","(1110.2687294392467, 112.58363653332802)","(233.12707656926804, 757.8661521090138)","(992.0765188184891, 896.9613194814402)","(275.162003382359, 280.06981903383587)","(774.0051849469736, 343.29060990126203)","(47.89471586086867, 191.9755551062629)","(1254.94284070052, 433.17437461303774)"
1080.0,"(242.63824475836654, 216.56201763701677)","(1209.3363093308385, 357.97684857143935)","(1118.3403749547606, 469.6735886594835)","(1110.1034807472527, 112.39603890595953)","(233.1814411864217, 757.8418213484688)","(992.3160792724199, 897.0328092633151)","(275.4013359807574, 280.14206796008307)","(773.877154358164, 343.50533802780603)","(47.98918659432849, 192.2070184522155)","(1255.0921879604812, 433.37486250778977)"
1081.0,"(242.8590497193031, 216.67925743071243)","(1209.1183161325503, 358.0992371554659)","(1118.101535340122, 469.7474509535129)","(1109.9382320552588, 112.20844127859104)","(233.23553398048958, 757.8176122417265)","(992.5556397263506, 897.10429904519)","(275.6406685791558, 280.21431688633027)","(773.7491237693545, 343.72006615435004)","(48.0836573277883, 192.43848179816808)","(1255.2415352204423, 433.5753504025418)"
1082.0,"(243.07985468023966, 216.79649722440809)","(1208.900322934262, 358.2216257394925)","(1117.8626957254833, 469.82131324754226)","(1109.7729833632648, 112.02084365122255)","(233.28935631058712, 757.7935241805178)","(992.7952001802813, 897.1757888270649)","(275.88000117755416, 280.2865658125775)","(773.6210931805449, 343.93479428089404)","(48.17812806124812, 192.66994514412067)","(1255.3908824804034, 433.77583829729383)"
1083.0,"(243.30065964117622, 216.91373701810375)","(1208.6823297359738, 358.34401432351905)","(1117.6238561108446, 469.89517554157163)","(1109.607734671271, 111.83324602385406)","(233.3429095290342, 757.7695565596152)","(993.034760634212, 897.2472786089398)","(276.11933377595255, 280.3588147388248)","(773.4930625917353, 344.14952240743804)","(48.27259879470793, 192.90140849007327)","(1255.5402297403646, 433.97632619204586)"
1084.0,"(243.5214646021128, 217.0309768117994)","(1208.4643365376855, 358.4664029075456)","(1117.385016496206, 469.969037835601)","(1109.4424859792769, 111.64564839648557)","(233.39619498138902, 757.7457087768172)","(993.2743210881428, 897.3187683908147)","(276.35866637435095, 280.431063665072)","(773.3650320029258, 344.36425053398204)","(48.36706952816775, 193.13287183602586)","(1255.6895770003257, 434.1768140867979)"
1085.0,"(243.74226956304935, 217.14821660549507)","(1208.2463433393973, 358.5887914915722)","(1117.1461768815673, 470.04290012963037)","(1109.277237287283, 111.45805076911708)","(233.44921400648207, 757.7219802329331)","(993.5138815420735, 897.3902581726896)","(276.59799897274934, 280.50331259131923)","(773.2370014141162, 344.57897866052605)","(48.46154026162756, 193.36433518197845)","(1255.8389242602868, 434.3773019815499)"
1086.0,"(243.9630745239859, 217.26545639919073)","(1208.028350141109, 358.71118007559875)","(1116.9073372669286, 470.11676242365974)","(1109.111988595289, 111.27045314174859)","(233.50196793644966, 757.6983703317684)","(993.7534419960042, 897.4617479545645)","(276.83733157114773, 280.5755615175664)","(773.1089708253066, 344.79370678707005)","(48.55601099508738, 193.59579852793104)","(1255.988271520248, 434.57778987630195)"
1087.0,"(244.18387948492247, 217.38269619288639)","(1207.8103569428208, 358.8335686596253)","(1116.66849765229, 470.1906247176891)","(1108.946739903295, 111.0828555143801)","(233.5544580967674, 757.6748784801096)","(993.9930024499349, 897.5332377364394)","(277.0766641695461, 280.6478104438137)","(772.9809402364971, 345.00843491361405)","(48.65048172854719, 193.82726187388363)","(1256.137618780209, 434.778277771054)"
1088.0,"(244.40468444585903, 217.49993598658205)","(1207.5923637445326, 358.9559572436519)","(1116.4296580376513, 470.2644870117185)","(1108.781491211301, 110.89525788701161)","(233.60668580628356, 757.651504087709)","(994.2325629038656, 897.6047275183143)","(277.3159967679445, 280.7200593700609)","(772.8529096476875, 345.22316304015806)","(48.74495246200701, 194.05872521983622)","(1256.2869660401702, 434.978765665806)"
1089.0,"(244.6254894067956, 217.6171757802777)","(1207.3743705462443, 359.07834582767845)","(1116.1908184230126, 470.33834930574784)","(1108.6162425193072, 110.70766025964312)","(233.65865237725214, 757.6282465672705)","(994.4721233577964, 897.6762173001893)","(277.5553293663429, 280.79230829630814)","(772.724879058878, 345.43789116670206)","(48.83942319546682, 194.2901885657888)","(1256.4363133001314, 435.17925356055804)"
1090.0,"(244.84629436773216, 217.73441557397337)","(1207.156377347956, 359.200734411705)","(1115.951978808374, 470.4122115997772)","(1108.4509938273131, 110.52006263227463)","(233.7103591153659, 757.6051053344341)","(994.7116838117271, 897.7477070820642)","(277.7946619647413, 280.86455722255533)","(772.5968484700684, 345.65261929324606)","(48.933893928926636, 194.5216519117414)","(1256.5856605600925, 435.37974145531007)"
1091.0,"(245.06709932866872, 217.85165536766903)","(1206.9383841496679, 359.3231229957316)","(1115.7131391937353, 470.4860738938066)","(1108.2857451353193, 110.33246500490614)","(233.76180731978906, 757.5820798077619)","(994.9512442656578, 897.819196863939)","(278.0339945631397, 280.9368061488026)","(772.4688178812588, 345.86734741979006)","(49.02836466238645, 194.753115257694)","(1256.7350078200536, 435.5802293500621)"
1092.0,"(245.28790428960528, 217.96889516136469)","(1206.7203909513796, 359.44551157975815)","(1115.4742995790966, 470.55993618783594)","(1108.1204964433252, 110.14486737753765)","(233.8129982831901, 757.5591694087232)","(995.1908047195885, 897.890686645814)","(278.2733271615381, 281.0090550750498)","(772.3407872924492, 346.08207554633407)","(49.122835395846266, 194.98457860364658)","(1256.8843550800148, 435.7807172448141)"
1093.0,"(245.50870925054184, 218.08613495506034)","(1206.5023977530914, 359.5679001637847)","(1115.235459964458, 470.6337984818653)","(1107.9552477513314, 109.95726975016916)","(233.86393329177415, 757.5363735616795)","(995.4303651735192, 897.9621764276889)","(278.51265975993647, 281.08130400129704)","(772.2127567036397, 346.29680367287807)","(49.21730612930608, 195.21604194959917)","(1257.033702339976, 435.98120513956616)"
1094.0,"(245.7295142114784, 218.203374748756)","(1206.2844045548031, 359.6902887478113)","(1114.9966203498193, 470.7076607758947)","(1107.7899990593373, 109.76967212280067)","(233.91461362531527, 757.5136916938711)","(995.66992562745, 898.0336662095638)","(278.75199235833486, 281.1535529275443)","(772.0847261148301, 346.5115317994221)","(49.311776862765896, 195.44750529555176)","(1257.183049599937, 436.1816930343182)"
1095.0,"(245.95031917241496, 218.32061454245166)","(1206.066411356515, 359.81267733183785)","(1114.7577807351806, 470.78152306992405)","(1107.6247503673435, 109.58207449543218)","(233.9650405571887, 757.4911232354018)","(995.9094860813807, 898.1051559914387)","(278.99132495673325, 281.2258018537915)","(771.9566955260206, 346.7262599259661)","(49.40624759622571, 195.67896864150435)","(1257.3323968598982, 436.3821809290702)"
1096.0,"(246.17112413335153, 218.43785433614732)","(1205.8484181582267, 359.9350659158644)","(1114.518941120542, 470.8553853639534)","(1107.4595016753494, 109.39447686806369)","(234.01521535440276, 757.4686676192248)","(996.1490465353114, 898.1766457733136)","(279.23065755513164, 281.29805078003875)","(771.828664937211, 346.9409880525101)","(49.500718329685526, 195.91043198745695)","(1257.4817441198593, 436.58266882382225)"
1097.0,"(246.3919290942881, 218.55509412984298)","(1205.6304249599384, 360.057454499891)","(1114.2801015059033, 470.9292476579828)","(1107.2942529833556, 109.2068792406952)","(234.06513927763075, 757.4463242811287)","(996.3886069892421, 898.2481355551885)","(279.46999015353003, 281.37029970628595)","(771.7006343484014, 347.1557161790541)","(49.59518906314534, 196.14189533340954)","(1257.6310913798204, 436.7831567185743)"
